"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jan","2014","Pritampura","rsd",4,40,154,NA
"2","Jun","2014","Pritampura","rsd",4,41,232,NA
"3","Sep","2014","Pritampura","rsd",4,44,402,NA
"4","Jan","2014","Pritampura","rsd",4,46,291,NA
"5","Jan","2014","Pritampura","rsd",4,41,289,NA
"6","Jan","2014","Pritampura","rsd",4,41,192,NA
"7","Jan","2014","Pritampura","rsd",4,37,280,NA
"8","Mar","2014","Pritampura","rsd",4,37,326,NA
"9","Jun","2014","Pritampura","rsd",4,49,297,NA
"10","Nov","2014","Pritampura","rsd",4,38,246,NA
"11","Feb","2014","Pritampura","rsd",4,50,115,NA
"12","Feb","2014","Pritampura","rsd",4,49,263,NA
"13","Feb","2014","Pritampura","rsd",4,49,197,NA
"14","Feb","2014","Pritampura","rsd",4,51,254,NA
"15","May","2014","Pritampura","rsd",4,44,135,NA
"16","Oct","2014","Pritampura","rsd",4,41,129,NA
"17","Mar","2014","Pritampura","rsd",4,45,167,NA
"18","Mar","2014","Pritampura","rsd",4,48,220,NA
"19","Mar","2014","Pritampura","rsd",4,40,234,NA
"20","Feb","2014","Pritampura","rsd",4,44,219,NA
"21","Jul","2014","Pritampura","rsd",4,42,130,NA
"22","Apr","2014","Pritampura","rsd",4,42,334,NA
"23","Apr","2014","Pritampura","rsd",4,41,130,NA
"24","Apr","2014","Pritampura","rsd",4,50,163,NA
"25","Apr","2014","Pritampura","rsd",4,44,137,NA
"26","May","2014","Pritampura","rsd",4,45,257,NA
"27","Aug","2014","Pritampura","rsd",4,39,210,NA
"28","May","2014","Pritampura","rsd",4,33,146,NA
"29","May","2014","Pritampura","rsd",4,36,146,NA
"30","May","2014","Pritampura","rsd",4,43,109,NA
"31","May","2014","Pritampura","rsd",4,36,206,NA
"32","Feb","2014","Pritampura","rsd",4,47,198,NA
"33","May","2014","Pritampura","rsd",4,41,215,NA
"34","Oct","2014","Pritampura","rsd",4,32,221,NA
"35","Jun","2014","Pritampura","rsd",4,34,138,NA
"36","Jun","2014","Pritampura","rsd",4,39,203,NA
"37","Jun","2014","Pritampura","rsd",4,35,168,NA
"38","Jun","2014","Pritampura","rsd",4,37,132,NA
"39","Feb","2014","Pritampura","rsd",4,33,224,NA
"40","Jul","2014","Pritampura","rsd",4,35,272,NA
"41","Oct","2014","Pritampura","rsd",4,37,104,NA
"42","Jul","2014","Pritampura","rsd",4,37,124,NA
"43","Jul","2014","Pritampura","rsd",4,36,68,NA
"44","Jul","2014","Pritampura","rsd",4,38,129,NA
"45","Apr","2014","Pritampura","rsd",4,42,111,NA
"46","Jul","2014","Pritampura","rsd",4,38,154,NA
"47","Dec","2014","Pritampura","rsd",4,35,126,NA
"48","Aug","2014","Pritampura","rsd",4,34,146,NA
"49","Aug","2014","Pritampura","rsd",4,36,177,NA
"50","Aug","2014","Pritampura","rsd",4,32,134,NA
"51","Feb","2014","Pritampura","rsd",4,36,174,NA
"52","May","2014","Pritampura","rsd",4,39,62,NA
"53","Oct","2014","Pritampura","rsd",4,41,84,NA
"54","Sep","2014","Pritampura","rsd",4,37,80,NA
"55","Sep","2014","Pritampura","rsd",4,36,107,NA
"56","Sep","2014","Pritampura","rsd",4,38,92,NA
"57","Sep","2014","Pritampura","rsd",4,35,101,NA
"58","Jul","2014","Pritampura","rsd",4,32,150,NA
"59","Oct","2014","Pritampura","rsd",4,37,134,NA
"60","Oct","2014","Pritampura","rsd",4,45,115,NA
"61","Oct","2014","Pritampura","rsd",4,48,230,NA
"62","Oct","2014","Pritampura","rsd",6,82,348,NA
"63","Oct","2014","Pritampura","rsd",4,44,209,NA
"64","Oct","2014","Pritampura","rsd",4,41,206,NA
"65","May","2014","Pritampura","rsd",4,38,210,NA
"66","Nov","2014","Pritampura","rsd",4,39,236,NA
"67","Nov","2014","Pritampura","rsd",4,40,192,NA
"68","Nov","2014","Pritampura","rsd",4,36,247,NA
"69","Nov","2014","Pritampura","rsd",4,39,215,NA
"70","Nov","2014","Pritampura","rsd",4,37,420,NA
"71","Mar","2014","Pritampura","rsd",4,39,225,NA
"72","Aug","2014","Pritampura","rsd",4,40,189,NA
"73","Nov","2014","Pritampura","rsd",4,39,228,NA
"74","Dec","2014","Pritampura","rsd",4,36,229,NA
"75","Dec","2014","Pritampura","rsd",4,34,382,NA
"76","Dec","2014","Pritampura","rsd",4,31,309,NA
"77","Feb","2014","Siri Fort","rsd",4,47,107,NA
"78","Jul","2014","Siri Fort","rsd",4,45,198,NA
"79","Oct","2014","Siri Fort","rsd",4,57,318,NA
"80","Jan","2014","Siri Fort","rsd",4,50,458,NA
"81","Jan","2014","Siri Fort","rsd",4,26,142,NA
"82","Jan","2014","Siri Fort","rsd",4,37,179,NA
"83","Jan","2014","Siri Fort","rsd",4,33,180,NA
"84","Apr","2014","Siri Fort","rsd",4,46,157,NA
"85","Jul","2014","Siri Fort","rsd",4,50,226,NA
"86","Dec","2014","Siri Fort","rsd",4,51,234,NA
"87","Feb","2014","Siri Fort","rsd",4,52,315,NA
"88","Feb","2014","Siri Fort","rsd",4,52,328,NA
"89","Feb","2014","Siri Fort","rsd",4,48,215,NA
"90","Mar","2014","Siri Fort","rsd",4,46,283,NA
"91","Jun","2014","Siri Fort","rsd",4,49,184,NA
"92","Nov","2014","Siri Fort","rsd",4,36,145,NA
"93","Mar","2014","Siri Fort","rsd",4,48,149,NA
"94","Mar","2014","Siri Fort","rsd",4,47,156,NA
"95","Mar","2014","Siri Fort","rsd",4,48,170,NA
"96","Mar","2014","Siri Fort","rsd",4,56,163,NA
"97","Mar","2014","Siri Fort","rsd",4,45,147,NA
"98","Sep","2014","Siri Fort","rsd",4,49,183,NA
"99","Apr","2014","Siri Fort","rsd",4,42,211,NA
"100","Apr","2014","Siri Fort","rsd",4,48,241,NA
"101","Apr","2014","Siri Fort","rsd",4,47,202,NA
"102","Jan","2014","Siri Fort","rsd",4,35,213,NA
"103","Jun","2014","Siri Fort","rsd",4,37,243,NA
"104","Sep","2014","Siri Fort","rsd",4,43,229,NA
"105","May","2014","Siri Fort","rsd",4,32,204,NA
"106","May","2014","Siri Fort","rsd",4,30,202,NA
"107","May","2014","Siri Fort","rsd",4,27,189,NA
"108","May","2014","Siri Fort","rsd",4,31,NA,NA
"109","Mar","2014","Siri Fort","rsd",4,36,NA,NA
"110","Jun","2014","Siri Fort","rsd",4,34,NA,NA
"111","Nov","2014","Siri Fort","rsd",4,27,190,NA
"112","Jun","2014","Siri Fort","rsd",4,34,189,NA
"113","Jun","2014","Siri Fort","rsd",4,35,175,NA
"114","Jun","2014","Siri Fort","rsd",4,42,149,NA
"115","Jun","2014","Siri Fort","rsd",4,41,271,NA
"116","Mar","2014","Siri Fort","rsd",4,23,128,NA
"117","Aug","2014","Siri Fort","rsd",4,28,183,NA
"118","Nov","2014","Siri Fort","rsd",4,31,157,NA
"119","Jul","2014","Siri Fort","rsd",4,30,163,NA
"120","Jul","2014","Siri Fort","rsd",4,26,108,NA
"121","Jul","2014","Siri Fort","rsd",4,20,105,NA
