"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","May","2004","Nizamuddin","rsd",NA,NA,136,323
"2","Aug","2004","Nizamuddin","rsd",NA,NA,93,284
"3","Jan","2004","Nizamuddin","rsd",NA,NA,125.33,381
"4","Jan","2004","Nizamuddin","rsd",NA,NA,171,NA
"5","Jan","2004","Nizamuddin","rsd",NA,NA,208,428
"6","Jan","2004","Nizamuddin","rsd",NA,NA,120,NA
"7","Jan","2004","Nizamuddin","rsd",NA,NA,115.33,187
"8","Mar","2004","Nizamuddin","rsd",NA,NA,69.67,210
"9","May","2004","Nizamuddin","rsd",NA,NA,81,254
"10","Jun","2004","Nizamuddin","rsd",NA,NA,150,288
"11","Nov","2004","Nizamuddin","rsd",NA,NA,96.33,179
"12","Feb","2004","Nizamuddin","rsd",NA,NA,101,259
"13","Feb","2004","Nizamuddin","rsd",NA,NA,80,258
"14","Mar","2004","Nizamuddin","rsd",NA,NA,112.67,380
"15","Jun","2004","Nizamuddin","rsd",NA,NA,184,659
"16","Aug","2004","Nizamuddin","rsd",NA,NA,156.67,316
"17","Nov","2004","Nizamuddin","rsd",NA,NA,144.33,308
"18","Mar","2004","Nizamuddin","rsd",NA,NA,113,337
"19","Mar","2004","Nizamuddin","rsd",NA,NA,157,484
"20","Mar","2004","Nizamuddin","rsd",NA,NA,122.67,275
"21","Mar","2004","Nizamuddin","rsd",NA,NA,122.67,254
"22","May","2004","Nizamuddin","rsd",NA,NA,124.33,386
"23","Aug","2004","Nizamuddin","rsd",NA,NA,187.33,708
"24","Apr","2004","Nizamuddin","rsd",NA,NA,196.67,540
"25","Apr","2004","Nizamuddin","rsd",NA,NA,153,613
"26","Apr","2004","Nizamuddin","rsd",NA,NA,93,352
"27","Apr","2004","Nizamuddin","rsd",NA,NA,98,231
"28","Jun","2004","Nizamuddin","rsd",NA,NA,254.67,424
"29","Dec","2004","Nizamuddin","rsd",NA,NA,260,560
"30","May","2004","Nizamuddin","rsd",NA,NA,178,426
"31","May","2004","Nizamuddin","rsd",NA,NA,415.5,1008
"32","May","2004","Nizamuddin","rsd",NA,NA,113.67,387
"33","May","2004","Nizamuddin","rsd",NA,NA,159.33,241
"34","Aug","2004","Nizamuddin","rsd",NA,NA,112.33,369
"35","Nov","2004","Nizamuddin","rsd",NA,NA,109,154
"36","Jun","2004","Nizamuddin","rsd",NA,NA,70.33,344
"37","Jun","2004","Nizamuddin","rsd",NA,NA,107.33,276
"38","Jun","2004","Nizamuddin","rsd",NA,NA,256.67,490
"39","Jun","2004","Nizamuddin","rsd",NA,NA,79.5,178
"40","May","2004","Nizamuddin","rsd",NA,NA,50.33,203
"41","Aug","2004","Nizamuddin","rsd",NA,NA,51.67,406
"42","Jul","2004","Nizamuddin","rsd",NA,NA,103.33,448
"43","Jul","2004","Nizamuddin","rsd",NA,NA,201,465
"44","Jul","2004","Nizamuddin","rsd",NA,NA,219,430
"45","Jul","2004","Nizamuddin","rsd",NA,NA,65.33,362
"46","Jul","2004","Nizamuddin","rsd",NA,NA,133,262
"47","Apr","2004","Nizamuddin","rsd",NA,NA,53.33,137
"48","Sep","2004","Nizamuddin","rsd",NA,NA,95,206
"49","Dec","2004","Nizamuddin","rsd",NA,NA,59,178
"50","Aug","2004","Nizamuddin","rsd",NA,NA,77.67,265
"51","Aug","2004","Nizamuddin","rsd",NA,NA,58.33,224
"52","Aug","2004","Nizamuddin","rsd",NA,NA,37,85
"53","Aug","2004","Nizamuddin","rsd",NA,NA,75.67,201
"54","Mar","2004","Nizamuddin","rsd",NA,NA,101,164
"55","Sep","2004","Nizamuddin","rsd",NA,NA,99.33,311
"56","Sep","2004","Nizamuddin","rsd",NA,NA,125,245
"57","Sep","2004","Nizamuddin","rsd",NA,NA,135.33,220
"58","Sep","2004","Nizamuddin","rsd",NA,NA,84,205
"59","Sep","2004","Nizamuddin","rsd",NA,NA,133.33,364
"60","Jan","2004","Nizamuddin","rsd",NA,NA,104,220
"61","Jun","2004","Nizamuddin","rsd",NA,NA,81,158
"62","Nov","2004","Nizamuddin","rsd",NA,NA,73,119
"63","Oct","2004","Nizamuddin","rsd",NA,NA,108,262
"64","Oct","2004","Nizamuddin","rsd",NA,NA,150.67,396
"65","Oct","2004","Nizamuddin","rsd",NA,NA,221,445
"66","Oct","2004","Nizamuddin","rsd",NA,NA,233.67,536
"67","Mar","2004","Nizamuddin","rsd",NA,NA,131.67,266
"68","Aug","2004","Nizamuddin","rsd",NA,NA,139.5,286
"69","Nov","2004","Nizamuddin","rsd",NA,NA,137,479
"70","Nov","2004","Nizamuddin","rsd",NA,NA,156,456
"71","Mar","2004","Nizamuddin","rsd",NA,NA,133.5,394
"72","Aug","2004","Nizamuddin","rsd",NA,NA,134.5,494
"73","Dec","2004","Nizamuddin","rsd",NA,NA,110.5,363
"74","Dec","2004","Nizamuddin","rsd",NA,NA,116.5,376
"75","Dec","2004","Nizamuddin","rsd",NA,NA,193.5,361
"76","Dec","2004","Nizamuddin","rsd",NA,NA,203,418
"77","Dec","2004","Nizamuddin","rsd",NA,NA,231,547
"78","Feb","2004","Ashok Vihar","rsd",NA,NA,198.5,324
"79","Jul","2004","Ashok Vihar","rsd",NA,NA,149.67,312
"80","Dec","2004","Ashok Vihar","rsd",NA,NA,136.5,360
"81","Jan","2004","Ashok Vihar","rsd",NA,NA,208.67,348
"82","Jan","2004","Ashok Vihar","rsd",NA,NA,245.5,429
"83","Jan","2004","Ashok Vihar","rsd",NA,NA,184,411
"84","Jan","2004","Ashok Vihar","rsd",NA,NA,136.67,249
"85","May","2004","Ashok Vihar","rsd",NA,NA,134.33,300
"86","Oct","2004","Ashok Vihar","rsd",NA,NA,129.33,243
"87","Feb","2004","Ashok Vihar","rsd",NA,NA,141,359
"88","Feb","2004","Ashok Vihar","rsd",NA,NA,150,326
"89","Feb","2004","Ashok Vihar","rsd",NA,NA,95.33,316
"90","Jan","2004","Ashok Vihar","rsd",NA,NA,100.33,283
