"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jul","2012","N.Y. School","rsd",5,54,137,NA
"2","Aug","2012","N.Y. School","rsd",2,78,179,NA
"3","Jan","2012","N.Y. School","rsd",7,99,296,NA
"4","Jan","2012","N.Y. School","rsd",8,101,169,NA
"5","Jan","2012","N.Y. School","rsd",2,92,161,NA
"6","Jan","2012","N.Y. School","rsd",7,114,208,NA
"7","Jan","2012","N.Y. School","rsd",15,104,216,NA
"8","Jan","2012","N.Y. School","rsd",10,107,207,NA
"9","Jan","2012","N.Y. School","rsd",8,82,162,NA
"10","Feb","2012","N.Y. School","rsd",14,93,247,NA
"11","Mar","2012","N.Y. School","rsd",7,91,183,NA
"12","Feb","2012","N.Y. School","rsd",14,84,90,NA
"13","Feb","2012","N.Y. School","rsd",10,90,76,NA
"14","Feb","2012","N.Y. School","rsd",13,93,131,NA
"15","Feb","2012","N.Y. School","rsd",10,48,108,NA
"16","Feb","2012","N.Y. School","rsd",11,64,147,NA
"17","Mar","2012","N.Y. School","rsd",6,93,135,NA
"18","Mar","2012","N.Y. School","rsd",8,76,155,NA
"19","Mar","2012","N.Y. School","rsd",7,102,154,NA
"20","Mar","2012","N.Y. School","rsd",4,65,414,NA
"21","Mar","2012","N.Y. School","rsd",3,54,267,NA
"22","Mar","2012","N.Y. School","rsd",7,59,205,NA
"23","Mar","2012","N.Y. School","rsd",4,76,193,NA
"24","Mar","2012","N.Y. School","rsd",2,90,143,NA
"25","Mar","2012","N.Y. School","rsd",4,94,184,NA
"26","Apr","2012","N.Y. School","rsd",2,107,115,NA
"27","May","2012","N.Y. School","rsd",3,96,109,NA
"28","Oct","2012","N.Y. School","rsd",3,88,190,NA
"29","Nov","2012","N.Y. School","rsd",4,79,73,NA
"30","Apr","2012","N.Y. School","rsd",3,66,124,NA
"31","Apr","2012","N.Y. School","rsd",5,48,132,NA
"32","Apr","2012","N.Y. School","rsd",4,53,213,NA
"33","Sep","2012","N.Y. School","rsd",2,122,264,NA
"34","Oct","2012","N.Y. School","rsd",2,60,407,NA
"35","Nov","2012","N.Y. School","rsd",2,81,170,NA
"36","May","2012","N.Y. School","rsd",2,93,200,NA
"37","May","2012","N.Y. School","rsd",2,88,653,NA
"38","May","2012","N.Y. School","rsd",2,68,735,NA
"39","May","2012","N.Y. School","rsd",2,66,230,NA
"40","May","2012","N.Y. School","rsd",2,53,235,NA
"41","Feb","2012","N.Y. School","rsd",2,82,343,NA
"42","Mar","2012","N.Y. School","rsd",2,87,224,NA
"43","Apr","2012","N.Y. School","rsd",2,76,163,NA
"44","Jul","2012","N.Y. School","rsd",2,65,185,NA
"45","Aug","2012","N.Y. School","rsd",2,55,148,NA
"46","Sep","2012","N.Y. School","rsd",2,50,179,NA
"47","Jun","2012","N.Y. School","rsd",2,37,307,NA
"48","Jun","2012","N.Y. School","rsd",2,36,209,NA
"49","Apr","2012","N.Y. School","rsd",4,45,133,NA
"50","May","2012","N.Y. School","rsd",2,46,136,NA
"51","Jun","2012","N.Y. School","rsd",2,43,55,NA
"52","Dec","2012","N.Y. School","rsd",2,71,37,NA
"53","Jul","2012","N.Y. School","rsd",2,51,46,NA
"54","Jul","2012","N.Y. School","rsd",2,64,89,NA
"55","Jul","2012","N.Y. School","rsd",2,51,114,NA
"56","Jul","2012","N.Y. School","rsd",4,54,138,NA
"57","Feb","2012","N.Y. School","rsd",2,50,61,NA
"58","Mar","2012","N.Y. School","rsd",2,59,63,NA
"59","Apr","2012","N.Y. School","rsd",4,54,54,NA
"60","Aug","2012","N.Y. School","rsd",2,43,57,NA
"61","Aug","2012","N.Y. School","rsd",2,47,53,NA
"62","Aug","2012","N.Y. School","rsd",2,35,69,NA
"63","Aug","2012","N.Y. School","rsd",2,61,37,NA
"64","Aug","2012","N.Y. School","rsd",4,39,40,NA
"65","Dec","2012","N.Y. School","rsd",2,34,63,NA
"66","Sep","2012","N.Y. School","rsd",2,20,29,NA
"67","Sep","2012","N.Y. School","rsd",2,21,22,NA
"68","Sep","2012","N.Y. School","rsd",2,42,47,NA
"69","Sep","2012","N.Y. School","rsd",2,34,62,NA
"70","Sep","2012","N.Y. School","rsd",2,44,69,NA
"71","Sep","2012","N.Y. School","rsd",2,86,94,NA
"72","Sep","2012","N.Y. School","rsd",2,67,77,NA
"73","Mar","2012","N.Y. School","rsd",2,100,112,NA
"74","Apr","2012","N.Y. School","rsd",2,105,119,NA
"75","May","2012","N.Y. School","rsd",2,106,122,NA
"76","Oct","2012","N.Y. School","rsd",2,98,91,NA
"77","Oct","2012","N.Y. School","rsd",2,91,153,NA
"78","Oct","2012","N.Y. School","rsd",3,87,161,NA
"79","Oct","2012","N.Y. School","rsd",6,120,353,NA
"80","Oct","2012","N.Y. School","rsd",2,159,325,NA
