"","cf","se","mAdj","cilb","ciub"
"mn",0.54554876799437,0.184053519745544,7.83232599135806,7.47152327314881,8.1931287095673
"mn",0.617682841955744,0.182487972531017,7.90446006531943,7.54672631145962,8.26219381917924
"mn",0.477508878656993,0.169999944507176,7.76428610202068,7.43103280614018,8.09753939790118
"mn",0.482535426722819,0.177615296646612,7.7693126500865,7.42113087168729,8.11749442848572
"mn",-0.58220040083522,0.171159358096909,6.70457682252847,6.36905071178801,7.04010293326892
"mn",-0.829328186495385,0.183802465290545,6.4574490368683,6.09713846425838,6.81775960947822
"mn",-1.11753993221123,0.179983220789478,6.16923729115245,5.8164136375615,6.52206094474341
"mn",-0.998282805187995,0.184606793231648,6.28849441817569,5.92660711012554,6.65038172622584
"mn",-1.03816656775056,0.183572859350723,6.24861065561312,5.88875018277483,6.60847112845142
"mn",0.653464762894916,0.176458469910779,7.9402419862586,7.59432795167305,8.28615602084416
"mn",1.41947158012525,0.180538820666989,8.70624880348893,8.35233599959909,9.06016160737878
"mn",0.305247600246713,0.186518160392746,7.5920248236104,7.2263906354779,7.9576590117429
"",0.35463810999533,1.64334437047387,7.64141533335902,4.41994411867888,10.8628865480392
"yr",7.86324615738323,0.43208496604818,15.1500233807469,14.3030011099255,15.9970456515682
"yr",5.89942445406845,0.451774656122359,13.1862016774321,12.300581428646,14.0718219262181
"yr",4.21670820586893,0.469826857794878,11.5034854292325,10.582477194158,12.4244936643071
"yr",2.55972753355557,0.176210791885909,9.84650475691919,9.50107624906921,10.1919332647692
"yr",2.41922624780395,0.178732461506428,9.70600347116757,9.35563169869127,10.0563752436439
"yr",2.78941423568607,0.185711312774519,10.0761914590497,9.71213894571613,10.4402439723833
"yr",-0.507922730421218,0.17995023420629,6.7788544929424,6.42609550341707,7.13161348246773
"yr",-0.211872812790094,0.168406389727821,7.07490441057352,6.74477498266795,7.4050338384791
"yr",-0.729930100784186,0.168999644485475,6.55684712257943,6.2255547289808,6.88813951617807
"yr",-1.91805173757437,0.156675430719493,5.36872548578925,5.06159242276307,5.67585854881542
"yr",-1.70930152632152,0.267688702591589,5.57747569704209,5.05272174687326,6.10222964721093
"yr",-4.54600260355398,0.27588988583306,2.74077461980964,2.19994377412615,3.28160546549313
"yr",-2.12914783176178,0.157074587176753,5.15762939160184,4.8497138565264,5.46554492667728
"",-1.57785401867973,0.156852722068567,5.70892320468389,5.40144259491832,6.01640381444945
"st",-3.64995211530347,0.360115382496201,3.63682510806018,2.93088582989141,4.34276438622895
"st",-0.901304614295821,0.580604402782896,6.38547260906783,5.24730558559587,7.52363963253979
"st",0.963345000105021,1.2615046215876,8.25012222346867,5.77717686968471,10.7230675772526
"st",-0.0839557541752498,0.224861609109552,7.2028214691884,6.76202207616514,7.64362086221166
"st",2.85959082053588,0.307002429735469,10.1463680438995,9.54454683831467,10.7481892494844
"st",0.111029588735207,0.216547894406712,7.39780681209885,6.97330491160574,7.82230871259197
"st",-0.263490707697252,0.18440358320314,7.02328651566639,6.66179756310955,7.38477546822324
"st",-0.949677231690324,0.24766286554411,6.33709999167332,5.85160297313576,6.82259701021088
"st",-2.15015106294732,0.317617792507929,5.13662616041632,4.51399550903344,5.7592568117992
"st",-2.83381247226277,0.318578840902411,4.45296475110088,3.82845014295618,5.07747935924557
"st",-0.879599279999042,0.225071291794589,6.40717794336461,5.96596750640789,6.84838838032133
"",2.8311936333716,0.210490041404958,10.1179708567352,9.7053442511703,10.5305974623002
"",1.31156392531414,0.27193605897789,8.59834114867785,8.06526104570575,9.13142125164995
"",-0.748126461201389,0.155114483975637,6.53865076216232,6.23457764511785,6.84272387920679
