"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jan","2009","Mayapuri Indl. Area","ind",13.2,70,468,828
"2","Jan","2009","Mayapuri Indl. Area","ind",18.8,89.5,344,628
"3","Jan","2009","Mayapuri Indl. Area","ind",16.7,89.3,426,796
"4","Jan","2009","Mayapuri Indl. Area","ind",9.7,49,194,390
"5","Jan","2009","Mayapuri Indl. Area","ind",16.7,62.3,206,437
"6","Jan","2009","Mayapuri Indl. Area","ind",23.5,60.7,279,453
"7","Jan","2009","Mayapuri Indl. Area","ind",16.8,69.8,304,513
"8","Jan","2009","Mayapuri Indl. Area","ind",19.3,85,304,575
"9","Mar","2009","Mayapuri Indl. Area","ind",11.3,106.7,371,744
"10","Apr","2009","Mayapuri Indl. Area","ind",15.3,96.8,439,748
"11","May","2009","Mayapuri Indl. Area","ind",10.5,103,312,552
"12","Oct","2009","Mayapuri Indl. Area","ind",17,44.8,192,391
"13","Nov","2009","Mayapuri Indl. Area","ind",16.8,46.2,171,317
"14","Feb","2009","Mayapuri Indl. Area","ind",10.3,48.2,229,437
"15","Feb","2009","Mayapuri Indl. Area","ind",4.7,49.2,239,540
"16","Feb","2009","Mayapuri Indl. Area","ind",12.2,89.8,354,673
"17","Dec","2009","Mayapuri Indl. Area","ind",3.5,53.3,276,427
"18","Mar","2009","Mayapuri Indl. Area","ind",16.3,84.2,294,456
"19","Mar","2009","Mayapuri Indl. Area","ind",12,88.2,365,667
"20","Mar","2009","Mayapuri Indl. Area","ind",16.7,55,267,437
"21","Mar","2009","Mayapuri Indl. Area","ind",15.7,62.7,167,352
"22","Mar","2009","Mayapuri Indl. Area","ind",14.5,67.5,243,411
"23","Mar","2009","Mayapuri Indl. Area","ind",6,70.3,255,402
"24","Mar","2009","Mayapuri Indl. Area","ind",5.3,41.7,186,371
"25","Jan","2009","Mayapuri Indl. Area","ind",11.2,51.8,352,627
"26","Feb","2009","Mayapuri Indl. Area","ind",19.2,60.5,261,654
"27","Mar","2009","Mayapuri Indl. Area","ind",14.2,47.5,341,579
"28","Jul","2009","Mayapuri Indl. Area","ind",4,39.3,352,546
"29","Aug","2009","Mayapuri Indl. Area","ind",3.3,31.2,217,371
"30","Sep","2009","Mayapuri Indl. Area","ind",17,28.2,199,342
"31","Apr","2009","Mayapuri Indl. Area","ind",17.2,74.5,351,736
"32","Apr","2009","Mayapuri Indl. Area","ind",14.3,62.3,357,776
"33","Aug","2009","Mayapuri Indl. Area","ind",11,60.8,286,544
"34","Sep","2009","Mayapuri Indl. Area","ind",6.3,49.5,209,548
"35","Oct","2009","Mayapuri Indl. Area","ind",NA,48.3,244,370
"36","May","2009","Mayapuri Indl. Area","ind",3.2,51.3,445,694
"37","May","2009","Mayapuri Indl. Area","ind",3.8,49,326,757
"38","May","2009","Mayapuri Indl. Area","ind",2.8,47,167,529
"39","May","2009","Mayapuri Indl. Area","ind",12.5,34.7,361,626
"40","May","2009","Mayapuri Indl. Area","ind",NA,40.5,164,238
"41","May","2009","Mayapuri Indl. Area","ind",NA,31.2,373,651
"42","Jun","2009","Mayapuri Indl. Area","ind",4.7,45.3,428,708
"43","Jul","2009","Mayapuri Indl. Area","ind",NA,44,324,492
"44","Jun","2009","Mayapuri Indl. Area","ind",2.3,16.6,190,372
"45","Jun","2009","Mayapuri Indl. Area","ind",5.7,20.2,236,422
"46","Jun","2009","Mayapuri Indl. Area","ind",5.8,25.1,277,665
"47","Jun","2009","Mayapuri Indl. Area","ind",NA,33.2,288,550
"48","Jun","2009","Mayapuri Indl. Area","ind",5,36.3,237,483
"49","Jul","2009","Mayapuri Indl. Area","ind",3.5,41.3,172,432
"50","Aug","2009","Mayapuri Indl. Area","ind",NA,17.8,110,303
"51","Sep","2009","Mayapuri Indl. Area","ind",NA,33.5,86,225
"52","Jul","2009","Mayapuri Indl. Area","ind",11,49.5,180,353
"53","Jul","2009","Mayapuri Indl. Area","ind",5,36.2,108,208
"54","Jul","2009","Mayapuri Indl. Area","ind",2.7,31.2,100,253
"55","Jul","2009","Mayapuri Indl. Area","ind",10.3,48,114,269
"56","Jul","2009","Mayapuri Indl. Area","ind",9.3,34.8,164,322
"57","Apr","2009","Mayapuri Indl. Area","ind",NA,17.5,73,332
"58","May","2009","Mayapuri Indl. Area","ind",NA,18.8,126,357
"59","Jun","2009","Mayapuri Indl. Area","ind",NA,28.8,78,396
"60","Nov","2009","Mayapuri Indl. Area","ind",5.5,65.5,137,338
"61","Dec","2009","Mayapuri Indl. Area","ind",4.2,35.2,188,349
"62","Aug","2009","Mayapuri Indl. Area","ind",10.8,44.2,179,278
"63","Aug","2009","Mayapuri Indl. Area","ind",13,38.2,145,188
"64","Aug","2009","Mayapuri Indl. Area","ind",11.8,32.3,62,168
"65","Jan","2009","Mayapuri Indl. Area","ind",4,66.8,218,385
"66","Feb","2009","Mayapuri Indl. Area","ind",3.8,36.2,135,256
"67","Mar","2009","Mayapuri Indl. Area","ind",4.8,39.2,108,248
"68","Sep","2009","Mayapuri Indl. Area","ind",5.5,44.8,251,685
"69","Sep","2009","Mayapuri Indl. Area","ind",3.7,43.2,227,635
"70","Sep","2009","Mayapuri Indl. Area","ind",5.3,37.3,161,527
"71","Sep","2009","Mayapuri Indl. Area","ind",12.7,57.5,294,624
"72","Sep","2009","Mayapuri Indl. Area","ind",12.3,44.2,234,556
"73","Mar","2009","Mayapuri Indl. Area","ind",NA,30.7,189,287
"74","Apr","2009","Mayapuri Indl. Area","ind",9.8,32.8,92,162
"75","May","2009","Mayapuri Indl. Area","ind",6.5,30.7,64,221
"76","Sep","2009","Mayapuri Indl. Area","ind",16.2,63.5,261,559
"77","Oct","2009","Mayapuri Indl. Area","ind",12.2,56.2,229,424
"78","Oct","2009","Mayapuri Indl. Area","ind",20.2,88,327,676
"79","Oct","2009","Mayapuri Indl. Area","ind",27.7,104.2,376,777
"80","Oct","2009","Mayapuri Indl. Area","ind",27.8,109.7,366,691
"81","Nov","2009","Mayapuri Indl. Area","ind",19.3,72,390,668
"82","Nov","2009","Mayapuri Indl. Area","ind",14.8,50.2,316,528
"83","Nov","2009","Mayapuri Indl. Area","ind",11.8,51.2,285,547
"84","Nov","2009","Mayapuri Indl. Area","ind",12.3,90.7,496,846
"85","Nov","2009","Mayapuri Indl. Area","ind",16.2,87.8,461,797
"86","Nov","2009","Mayapuri Indl. Area","ind",14.5,67.7,445,725
"87","Nov","2009","Mayapuri Indl. Area","ind",5.2,72,389,691
"88","Nov","2009","Mayapuri Indl. Area","ind",4.3,65.3,442,728
"89","Dec","2009","Mayapuri Indl. Area","ind",5.8,66.2,451,745
"90","Dec","2009","Mayapuri Indl. Area","ind",10,62.5,491,767
