"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"91","Dec","2009","Mayapuri Indl. Area","ind",6.2,54.8,384,680
"92","Dec","2009","Mayapuri Indl. Area","ind",3.8,79,344,601
"93","Dec","2009","Mayapuri Indl. Area","ind",5.8,66.8,425,687
"94","Dec","2009","Mayapuri Indl. Area","ind",17.8,76.3,421,695
"95","Dec","2009","Mayapuri Indl. Area","ind",17.5,77.5,664,1009
"96","Dec","2009","Mayapuri Indl. Area","ind",15.8,71,493,809
"97","Jan","2009","Shahdara","ind",6.7,72.7,322,543
"98","Jun","2009","Shahdara","ind",4.5,54.8,270,539
"99","Dec","2009","Shahdara","ind",5.5,44.8,225,378
"100","Jan","2009","Shahdara","ind",5.7,51.3,245,610
"101","Jan","2009","Shahdara","ind",4.2,32.8,151,326
"102","Jan","2009","Shahdara","ind",4,51.2,195,435
"103","Jan","2009","Shahdara","ind",5.5,60.8,171,299
"104","Apr","2009","Shahdara","ind",4.5,66.5,330,638
"105","Sep","2009","Shahdara","ind",4.2,59.8,192,537
"106","Dec","2009","Shahdara","ind",4.2,36.7,75,339
"107","Feb","2009","Shahdara","ind",4.7,38.2,193,406
"108","Feb","2009","Shahdara","ind",4,36.8,255,461
"109","Feb","2009","Shahdara","ind",5,39.7,217,471
"110","Mar","2009","Shahdara","ind",5.7,45.3,NA,644
"111","Jun","2009","Shahdara","ind",NA,NA,NA,686
"112","Mar","2009","Shahdara","ind",NA,NA,NA,663
"113","Mar","2009","Shahdara","ind",NA,NA,NA,675
"114","Mar","2009","Shahdara","ind",7.2,68.7,226,529
"115","Mar","2009","Shahdara","ind",4.2,52.7,150,367
"116","Jan","2009","Shahdara","ind",5.5,62.8,244,468
"117","Aug","2009","Shahdara","ind",4.8,58.3,268,539
"118","Apr","2009","Shahdara","ind",4.3,36.3,217,659
"119","Apr","2009","Shahdara","ind",4.2,38.7,250,614
"120","Apr","2009","Shahdara","ind",4.7,39,278,716
"121","Jan","2009","Shahdara","ind",5.5,51.3,245,663
"122","Jun","2009","Shahdara","ind",4,26.7,164,355
"123","Nov","2009","Shahdara","ind",4.2,40,243,556
"124","May","2009","Shahdara","ind",4.2,41.7,170,531
"125","May","2009","Shahdara","ind",4.3,35,221,546
"126","May","2009","Shahdara","ind",4.3,30.3,141,444
"127","May","2009","Shahdara","ind",5.3,39.7,230,561
"128","Feb","2009","Shahdara","ind",4,27.7,193,454
"129","May","2009","Shahdara","ind",4,30.5,207,484
"130","Oct","2009","Shahdara","ind",4,28.3,172,389
"131","Jun","2009","Shahdara","ind",4,29.3,210,477
"132","Jun","2009","Shahdara","ind",4,26.5,172,443
"133","Jun","2009","Shahdara","ind",4.5,29.7,194,500
"134","Jun","2009","Shahdara","ind",4,33,187,474
"135","Feb","2009","Shahdara","ind",4,26.8,133,355
"136","Jul","2009","Shahdara","ind",4.2,34.5,162,401
"137","Oct","2009","Shahdara","ind",4,26.3,105,316
"138","Jul","2009","Shahdara","ind",4,26.8,172,365
"139","Jul","2009","Shahdara","ind",4,27.5,190,316
"140","Jul","2009","Shahdara","ind",4,28.5,NA,324
"141","Jul","2009","Shahdara","ind",4,32.8,NA,314
"142","Mar","2009","Shahdara","ind",4,33.5,NA,444
"143","Jun","2009","Shahdara","ind",4,33.3,NA,353
"144","Nov","2009","Shahdara","ind",4,37.3,NA,405
"145","Aug","2009","Shahdara","ind",5.2,51,NA,293
"146","Aug","2009","Shahdara","ind",4.2,41.8,NA,326
"147","Aug","2009","Shahdara","ind",4.3,34.8,NA,290
"148","Aug","2009","Shahdara","ind",4,35.2,130,298
"149","Jan","2009","Shahdara","ind",4,33.8,145,350
"150","Apr","2009","Shahdara","ind",4,28.8,86,199
"151","Sep","2009","Shahdara","ind",4,29.7,67,152
"152","Sep","2009","Shahdara","ind",4,35.8,193,389
"153","Sep","2009","Shahdara","ind",4,42.8,170,336
"154","Sep","2009","Shahdara","ind",4,43.7,183,549
"155","Sep","2009","Shahdara","ind",4.2,47.3,145,273
"156","Jun","2009","Shahdara","ind",4,49.2,97,354
"157","Sep","2009","Shahdara","ind",5,54.5,237,629
"158","Oct","2009","Shahdara","ind",4.5,51.5,182,330
"159","Oct","2009","Shahdara","ind",4.7,55.7,303,566
"160","Oct","2009","Shahdara","ind",5,53.7,149,382
"161","Mar","2009","Shahdara","ind",5.3,61.3,224,428
"162","Jun","2009","Shahdara","ind",4.2,58,NA,807
"163","Nov","2009","Shahdara","ind",4.2,46.7,NA,526
"164","Nov","2009","Shahdara","ind",4.7,51.8,NA,449
"165","Nov","2009","Shahdara","ind",4.8,54.2,NA,424
"166","Nov","2009","Shahdara","ind",4.5,57.5,230,477
"167","Nov","2009","Shahdara","ind",4.8,51.3,295,588
"168","May","2009","Shahzada Bagh","ind",6.8,69.3,435,753
"169","Sep","2009","Shahzada Bagh","ind",5.3,72.5,309,645
"170","Jan","2009","Shahzada Bagh","ind",6.3,59.7,263,550
"171","Jan","2009","Shahzada Bagh","ind",5,36.3,188,424
"172","Jan","2009","Shahzada Bagh","ind",5.3,33.5,193,447
"173","Jan","2009","Shahzada Bagh","ind",5.7,74.5,NA,443
"174","Mar","2009","Shahzada Bagh","ind",5.2,63.7,291,718
"175","Jun","2009","Shahzada Bagh","ind",4.5,60.5,243,573
"176","Nov","2009","Shahzada Bagh","ind",4.3,41.3,163,355
"177","Feb","2009","Shahzada Bagh","ind",4.7,37.7,216,496
"178","Feb","2009","Shahzada Bagh","ind",4.7,37,211,682
"179","Feb","2009","Shahzada Bagh","ind",4,37.7,252,636
"180","Feb","2009","Shahzada Bagh","ind",4.8,37.5,231,534
"181","May","2009","Shahzada Bagh","ind",5.7,42.3,249,664
"182","Dec","2009","Shahzada Bagh","ind",4.5,37.8,214,644
"183","Mar","2009","Shahzada Bagh","ind",6.2,38.5,309,773
"184","Mar","2009","Shahzada Bagh","ind",7.5,76.5,274,750
"185","Mar","2009","Shahzada Bagh","ind",5.3,54.3,240,683
"186","Mar","2009","Shahzada Bagh","ind",7,89,227,465
"187","Jun","2009","Shahzada Bagh","ind",5.2,61.2,219,725
"188","Apr","2009","Shahzada Bagh","ind",4.5,38.2,237,624
"189","Apr","2009","Shahzada Bagh","ind",4.2,38.3,261,772
"190","Apr","2009","Shahzada Bagh","ind",4.2,36.8,215,747
"191","Apr","2009","Shahzada Bagh","ind",4.5,38.2,248,684
"192","Apr","2009","Shahzada Bagh","ind",4.2,41.3,235,560
"193","May","2009","Shahzada Bagh","ind",4,26.7,194,417
"194","Aug","2009","Shahzada Bagh","ind",4.2,34.8,221,548
"195","May","2009","Shahzada Bagh","ind",4.5,34.5,214,507
"196","May","2009","Shahzada Bagh","ind",4.3,38.5,219,711
"197","May","2009","Shahzada Bagh","ind",4.8,37.3,181,547
"198","May","2009","Shahzada Bagh","ind",5.2,38.5,195,556
"199","Jan","2009","Shahzada Bagh","ind",4.2,28.8,209,507
"200","Apr","2009","Shahzada Bagh","ind",4,28.8,221,516
"201","Sep","2009","Shahzada Bagh","ind",4.2,32.7,247,589
"202","Dec","2009","Shahzada Bagh","ind",4,27,209,457
"203","Jun","2009","Shahzada Bagh","ind",4.2,25.7,181,436
"204","Jun","2009","Shahzada Bagh","ind",4.5,24.5,216,491
"205","Jun","2009","Shahzada Bagh","ind",4.2,34.2,231,508
"206","Jan","2009","Shahzada Bagh","ind",4,27,144,351
"207","Jun","2009","Shahzada Bagh","ind",4.5,32.2,193,483
"208","Sep","2009","Shahzada Bagh","ind",4.2,30.5,186,498
"209","Jul","2009","Shahzada Bagh","ind",4,31,121,446
"210","Jul","2009","Shahzada Bagh","ind",4,32.2,188,358
"211","Jul","2009","Shahzada Bagh","ind",4,26,179,347
"212","Jul","2009","Shahzada Bagh","ind",4,27.7,145,261
"213","Jul","2009","Shahzada Bagh","ind",4,25.3,117,413
"214","May","2009","Shahzada Bagh","ind",4,33.3,140,362
"215","Oct","2009","Shahzada Bagh","ind",4,28.8,129,460
"216","Aug","2009","Shahzada Bagh","ind",4,32.2,159,321
"217","Aug","2009","Shahzada Bagh","ind",4,36.2,147,432
"218","Aug","2009","Shahzada Bagh","ind",4,32.5,148,425
"219","Aug","2009","Shahzada Bagh","ind",4,27,160,289
"220","Mar","2009","Shahzada Bagh","ind",4,36.8,89,233
"221","Aug","2009","Shahzada Bagh","ind",4,28.7,85,221
"222","Sep","2009","Shahzada Bagh","ind",4,44.5,124,508
"223","Sep","2009","Shahzada Bagh","ind",4.3,45.2,124,508
"224","Sep","2009","Shahzada Bagh","ind",4.2,50.2,143,442
"225","May","2009","Shahzada Bagh","ind",4,55.5,68,263
"226","Aug","2009","Shahzada Bagh","ind",5,48.2,280,622
"227","Oct","2009","Shahzada Bagh","ind",5.2,54,311,684
"228","Oct","2009","Shahzada Bagh","ind",4.3,56,417,879
"229","Oct","2009","Shahzada Bagh","ind",5.2,56.3,223,394
"230","Oct","2009","Shahzada Bagh","ind",4.5,53.5,289,658
"231","Oct","2009","Shahzada Bagh","ind",5,56.7,226,521
"232","May","2009","Shahzada Bagh","ind",5,59.8,354,805
"233","Oct","2009","Shahzada Bagh","ind",4,49.2,258,500
"234","Nov","2009","Shahzada Bagh","ind",4.2,43.7,152,458
"235","Nov","2009","Shahzada Bagh","ind",4.2,52.8,289,598
"236","Nov","2009","Shahzada Bagh","ind",4.8,57.5,332,825
"237","Nov","2009","Shahzada Bagh","ind",4.5,54.7,320,512
"238","Jan","2009","Janakpuri","rsd",6,48.5,206,401
"239","Jun","2009","Janakpuri","rsd",5.8,60.5,450,520
"240","Dec","2009","Janakpuri","rsd",5.5,62.3,250,387
"241","Jan","2009","Janakpuri","rsd",6.5,51.2,174,391
"242","Jan","2009","Janakpuri","rsd",6.5,49.2,456,485
"243","Jan","2009","Janakpuri","rsd",7.3,53.2,551,718
"244","Jan","2009","Janakpuri","rsd",5.7,55.5,400,627
"245","Apr","2009","Janakpuri","rsd",5.3,52.7,164,303
"246","Sep","2009","Janakpuri","rsd",6.7,50.3,215,432
"247","Dec","2009","Janakpuri","rsd",5.2,56.8,525,870
"248","Feb","2009","Janakpuri","rsd",4.8,47,328,658
"249","Feb","2009","Janakpuri","rsd",6.2,56.5,478,626
"250","Feb","2009","Janakpuri","rsd",5.7,51.2,443,603
"251","Mar","2009","Janakpuri","rsd",6.8,54.5,286,531
"252","Jun","2009","Janakpuri","rsd",6.8,55.3,241,552
"253","Mar","2009","Janakpuri","rsd",6.7,53.5,222,512
"254","Mar","2009","Janakpuri","rsd",7,53.5,270,481
"255","Mar","2009","Janakpuri","rsd",6.8,53,353,529
"256","Mar","2009","Janakpuri","rsd",6.8,53.7,361,883
"257","Jan","2009","Janakpuri","rsd",6.2,54,321,565
"258","Aug","2009","Janakpuri","rsd",5.5,55,121,486
"259","Apr","2009","Janakpuri","rsd",6,60.7,173,458
"260","Apr","2009","Janakpuri","rsd",6.3,56,NA,606
"261","Apr","2009","Janakpuri","rsd",5.5,58.5,637,897
"262","Jan","2009","Janakpuri","rsd",5.8,49,541,568
"263","Jun","2009","Janakpuri","rsd",5.2,52.7,189,522
"264","Nov","2009","Janakpuri","rsd",5.2,59,298,489
"265","May","2009","Janakpuri","rsd",4.8,49.8,589,695
"266","May","2009","Janakpuri","rsd",5.5,53,229,592
"267","May","2009","Janakpuri","rsd",5.3,53.3,430,675
"268","May","2009","Janakpuri","rsd",4.7,51.7,363,526
"269","Feb","2009","Janakpuri","rsd",5.5,56.3,567,NA
"270","May","2009","Janakpuri","rsd",5.5,63.3,432,941
"271","Oct","2009","Janakpuri","rsd",4.7,57.8,297,638
"272","Jun","2009","Janakpuri","rsd",5.3,57.5,351,1098
"273","Jun","2009","Janakpuri","rsd",6.2,62.7,366,606
"274","Jun","2009","Janakpuri","rsd",6,62.5,219,428
"275","Jun","2009","Janakpuri","rsd",4.8,54.7,335,485
"276","Feb","2009","Janakpuri","rsd",5.5,70.5,NA,452
"277","Jul","2009","Janakpuri","rsd",5.7,72.5,NA,468
"278","Oct","2009","Janakpuri","rsd",5.3,59.5,245,374
"279","Jul","2009","Janakpuri","rsd",5,64,340,445
"280","Jul","2009","Janakpuri","rsd",5.2,69.5,232,311
"281","Jul","2009","Janakpuri","rsd",6,74.2,124,393
"282","Jul","2009","Janakpuri","rsd",5.5,61,249,496
"283","Mar","2009","Janakpuri","rsd",6.8,54.5,226,324
"284","Jun","2009","Janakpuri","rsd",7.2,57.7,160,348
"285","Nov","2009","Janakpuri","rsd",5.8,48.7,213,404
"286","Aug","2009","Janakpuri","rsd",6.2,54.2,200,367
"287","Aug","2009","Janakpuri","rsd",5.7,53.8,274,407
"288","Aug","2009","Janakpuri","rsd",5.8,52.3,355,490
"289","Aug","2009","Janakpuri","rsd",6.5,52.2,154,377
"290","Jan","2009","Janakpuri","rsd",5.5,55.3,158,391
"291","Apr","2009","Janakpuri","rsd",4.7,49.8,236,315
"292","Sep","2009","Janakpuri","rsd",5.3,54.2,116,356
"293","Sep","2009","Janakpuri","rsd",5,54.7,205,325
"294","Sep","2009","Janakpuri","rsd",4.5,57,244,328
"295","Sep","2009","Janakpuri","rsd",5.3,55.3,306,411
"296","Jun","2009","Janakpuri","rsd",5.3,58.8,137,346
"297","Sep","2009","Janakpuri","rsd",5.3,63.8,144,386
"298","Oct","2009","Janakpuri","rsd",4.7,57.7,368,527
"299","Oct","2009","Janakpuri","rsd",4,60,470,776
"300","Oct","2009","Janakpuri","rsd",5,51.8,365,504
"301","Oct","2009","Janakpuri","rsd",4.3,49.8,275,476
"302","Mar","2009","Janakpuri","rsd",5.3,57,371,521
"303","Jun","2009","Janakpuri","rsd",5.2,59.2,324,452
"304","Nov","2009","Janakpuri","rsd",5.3,60.7,285,420
"305","Nov","2009","Janakpuri","rsd",4.7,57,238,398
"306","Nov","2009","Janakpuri","rsd",5.5,60,212,367
"307","Nov","2009","Janakpuri","rsd",5,61.3,321,470
"308","Nov","2009","Janakpuri","rsd",4.5,53.5,431,NA
"309","Jun","2009","N.Y. School","rsd",6,44.7,183,380
"310","Jul","2009","N.Y. School","rsd",5.8,44.7,144,268
"311","Aug","2009","N.Y. School","rsd",10,57,197,374
"312","Jan","2009","N.Y. School","rsd",NA,50.3,113,229
"313","Jan","2009","N.Y. School","rsd",6,64,145,286
"314","Jan","2009","N.Y. School","rsd",2.3,58.5,196,375
"315","Jan","2009","N.Y. School","rsd",2.5,69.3,190,404
"316","Jan","2009","N.Y. School","rsd",4.7,83.5,210,382
"317","Oct","2009","N.Y. School","rsd",17,44.8,214,314
"318","Nov","2009","N.Y. School","rsd",15.5,49.8,147,216
"319","Feb","2009","N.Y. School","rsd",6.5,60.7,142,364
"320","Feb","2009","N.Y. School","rsd",4.2,45.7,115,312
"321","Feb","2009","N.Y. School","rsd",4.8,55.3,143,394
"322","Feb","2009","N.Y. School","rsd",3.2,44.2,128,283
"323","Feb","2009","N.Y. School","rsd",NA,67.7,151,355
"324","Feb","2009","N.Y. School","rsd",7,79.2,196,522
"325","Mar","2009","N.Y. School","rsd",13.7,70.7,190,433
"326","Mar","2009","N.Y. School","rsd",11.8,70,221,462
"327","Mar","2009","N.Y. School","rsd",17.7,78,198,517
"328","Mar","2009","N.Y. School","rsd",4.7,49.7,194,635
"329","Mar","2009","N.Y. School","rsd",13.5,53.5,166,373
"330","Mar","2009","N.Y. School","rsd",11.2,44.8,228,476
"331","Mar","2009","N.Y. School","rsd",8.3,55.2,232,404
"332","Mar","2009","N.Y. School","rsd",3.5,48.7,159,327
"333","Jul","2009","N.Y. School","rsd",2.8,33.8,337,635
"334","Aug","2009","N.Y. School","rsd",2.7,29.3,153,391
"335","Sep","2009","N.Y. School","rsd",3.5,29.8,74,192
"336","Apr","2009","N.Y. School","rsd",2.3,47.3,277,477
"337","Apr","2009","N.Y. School","rsd",NA,37.7,462,821
"338","Apr","2009","N.Y. School","rsd",3.8,34.2,309,543
"339","Apr","2009","N.Y. School","rsd",7.7,41.8,351,501
"340","Apr","2009","N.Y. School","rsd",5,42.3,296,517
"341","Aug","2009","N.Y. School","rsd",NA,48.2,175,394
"342","Sep","2009","N.Y. School","rsd",NA,50.5,197,468
"343","Oct","2009","N.Y. School","rsd",NA,37.3,159,412
"344","Dec","2009","N.Y. School","rsd",5.3,48,181,432
"345","May","2009","N.Y. School","rsd",5.3,27.8,159,449
"346","May","2009","N.Y. School","rsd",5.3,36.5,188,458
"347","May","2009","N.Y. School","rsd",NA,55.8,151,395
"348","May","2009","N.Y. School","rsd",3.8,49.5,199,586
"349","Jun","2009","N.Y. School","rsd",NA,18.3,186,306
"350","Jun","2009","N.Y. School","rsd",NA,23.4,158,344
"351","Jun","2009","N.Y. School","rsd",NA,23.6,248,641
"352","Jun","2009","N.Y. School","rsd",2.7,31.7,248,535
"353","Jun","2009","N.Y. School","rsd",3.7,32.3,263,549
"354","Jun","2009","N.Y. School","rsd",3.3,33,238,440
"355","Jun","2009","N.Y. School","rsd",NA,27.5,230,511
"356","Jun","2009","N.Y. School","rsd",NA,33.5,208,389
"357","Jul","2009","N.Y. School","rsd",4.2,40.3,133,260
"358","Jul","2009","N.Y. School","rsd",NA,36.8,80,153
"359","Jul","2009","N.Y. School","rsd",NA,23.7,75,188
"360","Jul","2009","N.Y. School","rsd",NA,25.5,60,115
"361","Jul","2009","N.Y. School","rsd",NA,19.8,108,199
"362","Jul","2009","N.Y. School","rsd",NA,25.3,87,231
"363","Jul","2009","N.Y. School","rsd",NA,31,83,216
"364","Nov","2009","N.Y. School","rsd",3.2,34.7,134,292
"365","Dec","2009","N.Y. School","rsd",NA,29.2,116,229
"366","Aug","2009","N.Y. School","rsd",NA,16.3,66,162
"367","Aug","2009","N.Y. School","rsd",2.3,21,80,226
"368","Aug","2009","N.Y. School","rsd",NA,36.2,85,260
"369","Aug","2009","N.Y. School","rsd",NA,23,52,207
"370","Aug","2009","N.Y. School","rsd",4.8,33.3,63,160
"371","Aug","2009","N.Y. School","rsd",6.2,36.2,68,156
"372","Aug","2009","N.Y. School","rsd",7.2,24.8,42,111
"373","Sep","2009","N.Y. School","rsd",NA,26.2,28,72
"374","Sep","2009","N.Y. School","rsd",4.3,36,154,323
"375","Sep","2009","N.Y. School","rsd",3.2,30,127,352
"376","Sep","2009","N.Y. School","rsd",NA,29.2,102,314
"377","Sep","2009","N.Y. School","rsd",2.5,54.2,155,411
"378","Sep","2009","N.Y. School","rsd",NA,37.3,147,406
"379","Sep","2009","N.Y. School","rsd",2.8,36.8,121,385
"380","Sep","2009","N.Y. School","rsd",3.7,61.8,195,423
"381","Oct","2009","N.Y. School","rsd",2.8,54.5,119,279
"382","Oct","2009","N.Y. School","rsd",2.7,80.3,273,470
"383","Oct","2009","N.Y. School","rsd",10.3,78.8,298,546
"384","Oct","2009","N.Y. School","rsd",7.8,76,298,539
"385","Oct","2009","N.Y. School","rsd",NA,92,227,440
"386","Oct","2009","N.Y. School","rsd",4,74.7,256,484
"387","Oct","2009","N.Y. School","rsd",3.3,85.3,266,503
"388","Mar","2009","N.Y. School","rsd",3.5,84.7,309,539
"389","Apr","2009","N.Y. School","rsd",8,76,317,523
"390","Oct","2009","N.Y. School","rsd",2.3,46.8,390,592
"391","Nov","2009","N.Y. School","rsd",6.7,75.2,413,665
"392","Dec","2009","N.Y. School","rsd",4.7,58.2,212,301
"393","Nov","2009","N.Y. School","rsd",6.5,89.8,NA,474
"394","Nov","2009","N.Y. School","rsd",12.2,91.2,215,462
"395","Nov","2009","N.Y. School","rsd",7.3,89,255,485
"396","Aug","2009","N.Y. School","rsd",NA,84.7,249,541
"397","Sep","2009","N.Y. School","rsd",7.2,86.7,483,831
"398","Oct","2009","N.Y. School","rsd",NA,86.3,438,757
"399","Dec","2009","N.Y. School","rsd",3.2,89,275,461
"400","Dec","2009","N.Y. School","rsd",3.8,83.2,236,484
"401","Dec","2009","N.Y. School","rsd",2.7,80.3,180,389
"402","Dec","2009","N.Y. School","rsd",3.2,93.7,207,373
"403","Dec","2009","N.Y. School","rsd",4.3,83.8,267,497
"404","Feb","2009","Nizamuddin","rsd",7.3,52,NA,665
"405","Jul","2009","Nizamuddin","rsd",5,48.5,306,543
"406","Jan","2009","Nizamuddin","rsd",6.2,50.5,221,492
"407","Jan","2009","Nizamuddin","rsd",6.3,52.2,373,536
"408","Jan","2009","Nizamuddin","rsd",6.8,51.8,236,372
"409","Jan","2009","Nizamuddin","rsd",7.7,48,191,431
"410","Feb","2009","Nizamuddin","rsd",5.8,59.8,784,NA
"411","May","2009","Nizamuddin","rsd",4.5,55.3,256,413
"412","Oct","2009","Nizamuddin","rsd",5.2,54.8,281,617
"413","Feb","2009","Nizamuddin","rsd",6.5,52.8,467,630
"414","Feb","2009","Nizamuddin","rsd",5.3,54.2,279,497
"415","Feb","2009","Nizamuddin","rsd",5.5,55.3,499,844
"416","Feb","2009","Nizamuddin","rsd",5.7,51.7,357,550
"417","Apr","2009","Nizamuddin","rsd",6.8,53,266,630
"418","Sep","2009","Nizamuddin","rsd",6.8,48.5,361,632
"419","Mar","2009","Nizamuddin","rsd",6.7,52.2,390,650
