"","cf","se","mAdj","cilb","ciub"
"mn",2.34764115459486,0.822300201201286,58.4193101988174,56.8073515788974,60.0312688187375
"mn",0.966665927140979,0.812978550707763,57.0383349713636,55.4446496229847,58.6320203197424
"mn",-0.783504866355105,0.757717294171884,55.2881641778675,53.8028077082734,56.7735206474616
"mn",2.15191343104468,0.793183036061606,58.2235824752673,56.6687023593607,59.7784625911738
"mn",-0.969249026187135,0.764155918032294,55.1024200180354,53.6044418864047,56.6003981496661
"mn",-6.24617367298476,0.81485988922564,49.8254953712378,48.2281220268735,51.4228687156021
"mn",-10.5024504257882,0.78398653411857,45.5692186184344,44.0323664448274,47.1060707920414
"mn",-8.89098699007644,0.80179741418957,47.1806820541461,45.6089151357575,48.7524489725347
"mn",-7.85426385081481,0.814679130078658,48.2174051934078,46.6203861919765,49.8144241948391
"mn",7.87300105634767,0.786033108078371,63.9446701005702,62.4038060192306,65.4855341819099
"mn",12.3333715209964,0.809172572091172,68.405040565219,66.8188160930862,69.9912650373518
"mn",10.6760479169159,0.831272098171228,66.7477169611385,65.1181706930133,68.3772632292636
"",0.737467887018247,7.39910118121894,56.8091369312408,42.304647073033,71.3136267894486
"yr",-16.1300676812359,1.94583365838892,39.9416013629866,36.1271752762749,43.7560274496984
"yr",-16.3682619682681,2.03443102395443,39.7034070759545,35.7153031925975,43.6915109593115
"yr",-17.7894061596602,2.11570427170393,38.2822628845623,34.1348387042052,42.4296870649195
"yr",-15.2166592262341,0.793888236252622,40.8550098179884,39.2987472951154,42.4112723408615
"yr",-8.42858254404987,0.770142470759489,47.6430865001727,46.1333729034915,49.1528000968539
"yr",-4.68219216673457,0.835102825436154,51.389476877488,49.7524212182351,53.0265325367409
"yr",-2.38919826163295,0.797763894319368,53.6824707825896,52.1186107905448,55.2463307746344
"yr",3.12072304480553,0.723396996297902,59.1923920890281,57.7743138469176,60.6104703311386
"yr",-4.76768900998184,0.725216601129857,51.3039800342407,49.8823348129546,52.7256252555268
"yr",3.80932565722261,0.706664870727016,59.8809947014452,58.4957165170315,61.2662728858588
"yr",11.0807613300934,1.20115421767176,67.1524303743159,64.7978025970143,69.5070581516176
"yr",18.2526244369443,1.23799515987779,74.3242934811668,71.8974462464599,76.7511407158737
"yr",8.66848346867513,0.708662539402515,64.7401525128977,63.3509582899904,66.1293467358049
"",12.9287496829757,0.707020050153017,69.0004187271983,67.6144442830287,70.3863931713678
"st",-7.12817238796005,1.62117665380165,48.9434966562625,45.765497091516,52.121496221009
"st",29.573240037984,2.60214533836951,85.6449090822066,80.5439123873965,90.7459057770166
"st",-19.3794149034113,4.15503128744843,36.6922541408113,28.5471284433406,44.8373798382819
"st",-5.08354745448526,1.00478330562871,50.9881215897373,49.0184405556165,52.9578026238581
"st",9.31763468991431,1.38393061842838,65.3893037341369,62.6763785925792,68.1022288756945
"st",12.2889850311085,0.932160154915306,68.3606540753311,66.5333365157992,70.187971634863
"st",-9.92680006525251,0.824311022021965,46.14486897897,44.5289685383497,47.7607694195904
"st",-20.622733524761,1.10766112598921,35.4489355194616,33.2775826517616,37.6202883871615
"st",-11.875425986913,1.43454400818069,44.1962430573096,41.3841002702067,47.0083858444125
"st",-10.9473707298729,1.43858955386188,45.1242983143496,42.3042250266539,47.9443716020453
"st",-10.96341542838,1.00572718480977,45.1082536158426,43.1367222913049,47.0797849403803
"",22.9584375412879,0.918501992814062,79.0301065855105,77.2295631798693,80.8306499911516
"",3.78095675138279,1.23126679748451,59.8526257956054,57.4389681986269,62.266283392584
"",-2.10109092442592,0.684219276720202,53.9705781197967,52.6293001298202,55.3118561097733
