"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jan","2003","Nizamuddin","ind",NA,34,149,205
"2","Jun","2003","Nizamuddin","ind",11,39,184,405
"3","Sep","2003","Nizamuddin","ind",12,42,190,429
"4","Jan","2003","Nizamuddin","ind",14,41,187,304
"5","Jan","2003","Nizamuddin","ind",13,39,192,323
"6","Jan","2003","Nizamuddin","ind",12,36,170,325
"7","Jan","2003","Nizamuddin","ind",12,43,112,262
"8","Jan","2003","Nizamuddin","ind",13,37,179,262
"9","May","2003","Nizamuddin","ind",11,42,155,192
"10","Oct","2003","Nizamuddin","ind",11,51,NA,245
"11","Feb","2003","Nizamuddin","ind",11,42,217,337
"12","Feb","2003","Nizamuddin","ind",9,38,71,205
"13","Feb","2003","Nizamuddin","ind",13,43,201,275
"14","Feb","2003","Nizamuddin","ind",12,44,177,302
"15","May","2003","Nizamuddin","ind",11,47,91,173
"16","Oct","2003","Nizamuddin","ind",14,43,102,190
"17","Mar","2003","Nizamuddin","ind",11,38,170,264
"18","Mar","2003","Nizamuddin","ind",12,42,143,243
"19","Mar","2003","Nizamuddin","ind",15,43,115,282
"20","Mar","2003","Nizamuddin","ind",10,41,119,298
"21","Mar","2003","Nizamuddin","ind",14,46,132,276
"22","Aug","2003","Nizamuddin","ind",16,44,84,266
"23","Apr","2003","Nizamuddin","ind",11,39,97,301
"24","Apr","2003","Nizamuddin","ind",15,52,131,357
"25","Apr","2003","Nizamuddin","ind",16,51,133,315
"26","May","2003","Nizamuddin","ind",12,40,131,310
"27","Aug","2003","Nizamuddin","ind",13,49,156,352
"28","May","2003","Nizamuddin","ind",11,47,170,533
"29","May","2003","Nizamuddin","ind",12,42,186,489
"30","May","2003","Nizamuddin","ind",13,41,98,242
"31","May","2003","Nizamuddin","ind",9,36,154,717
"32","Mar","2003","Nizamuddin","ind",15,43,130,271
"33","Jun","2003","Nizamuddin","ind",11,44,322,NA
"34","Nov","2003","Nizamuddin","ind",14,43,274,759
"35","Jun","2003","Nizamuddin","ind",12,39,150,607
"36","Jun","2003","Nizamuddin","ind",13,44,84,147
"37","Jun","2003","Nizamuddin","ind",10,35,193,435
"38","Jun","2003","Nizamuddin","ind",11,37,83,317
"39","Mar","2003","Nizamuddin","ind",10,48,68,190
"40","Jul","2003","Nizamuddin","ind",13,51,73,130
"41","Jul","2003","Nizamuddin","ind",9,33,53,105
"42","Jul","2003","Nizamuddin","ind",13,38,61,139
"43","Jul","2003","Nizamuddin","ind",10,41,65,157
"44","Apr","2003","Nizamuddin","ind",10,49,31,128
"45","Jul","2003","Nizamuddin","ind",10,39,73,265
"46","Dec","2003","Nizamuddin","ind",10,42,59,199
"47","Aug","2003","Nizamuddin","ind",13,48,29,114
"48","Aug","2003","Nizamuddin","ind",10,39,66,186
"49","Aug","2003","Nizamuddin","ind",10,44,62,187
"50","Feb","2003","Nizamuddin","ind",10,43,93,129
"51","May","2003","Nizamuddin","ind",7,27,105,354
"52","Oct","2003","Nizamuddin","ind",11,40,56,205
"53","Sep","2003","Nizamuddin","ind",13,32,68,215
"54","Sep","2003","Nizamuddin","ind",14,45,83,148
"55","Sep","2003","Nizamuddin","ind",10,46,47,183
"56","Sep","2003","Nizamuddin","ind",15,46,67,270
"57","Mar","2003","Nizamuddin","ind",12,44,74,413
"58","Aug","2003","Nizamuddin","ind",16,47,88,274
"59","Oct","2003","Nizamuddin","ind",12,43,115,556
"60","Oct","2003","Nizamuddin","ind",14,44,119,466
"61","Oct","2003","Nizamuddin","ind",15,48,154,422
"62","Oct","2003","Nizamuddin","ind",12,46,144,546
"63","Apr","2003","Nizamuddin","ind",13,51,163,438
"64","Jul","2003","Nizamuddin","ind",12,44,124,610
