"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Sep","2007","Mayapuri Indl. Area","ind",6,64.9,136,206
"2","Oct","2007","Mayapuri Indl. Area","ind",2.6,41.1,40,64
"3","Feb","2007","Mayapuri Indl. Area","ind",15.4,55.5,200,391
"4","Feb","2007","Mayapuri Indl. Area","ind",16.6,59,173,372
"5","Feb","2007","Mayapuri Indl. Area","ind",15.9,38.1,186,373
"6","Feb","2007","Mayapuri Indl. Area","ind",20.6,49.6,215,480
"7","Feb","2007","Mayapuri Indl. Area","ind",16.7,71.9,267,497
"8","Feb","2007","Mayapuri Indl. Area","ind",9.4,37,175,341
"9","Sep","2007","Mayapuri Indl. Area","ind",13.2,54.7,118,333
"10","Oct","2007","Mayapuri Indl. Area","ind",9.7,64.3,85,247
"11","Mar","2007","Mayapuri Indl. Area","ind",9.7,59.9,97,179
"12","Mar","2007","Mayapuri Indl. Area","ind",8.8,43.7,146,300
"13","Mar","2007","Mayapuri Indl. Area","ind",11.7,63.8,116,253
"14","Mar","2007","Mayapuri Indl. Area","ind",11.2,57.7,146,343
"15","Mar","2007","Mayapuri Indl. Area","ind",9,21.1,142,380
"16","Mar","2007","Mayapuri Indl. Area","ind",10.5,23,174,419
"17","Jan","2007","Mayapuri Indl. Area","ind",7.3,59,114,418
"18","Feb","2007","Mayapuri Indl. Area","ind",11.2,92.2,111,275
"19","Nov","2007","Mayapuri Indl. Area","ind",14.5,60.5,94,280
"20","Dec","2007","Mayapuri Indl. Area","ind",5.9,60.8,71,229
"21","May","2007","Mayapuri Indl. Area","ind",17.8,55.9,87,378
"22","May","2007","Mayapuri Indl. Area","ind",11.1,47,117,508
"23","May","2007","Mayapuri Indl. Area","ind",12.8,44.6,102,394
"24","May","2007","Mayapuri Indl. Area","ind",16.5,80.4,138,503
"25","Jan","2007","Mayapuri Indl. Area","ind",NA,51.7,44,114
"26","Feb","2007","Mayapuri Indl. Area","ind",3,60.4,57,129
"27","Jul","2007","Mayapuri Indl. Area","ind",NA,48,97,184
"28","Aug","2007","Mayapuri Indl. Area","ind",2.6,45.1,61,145
"29","Aug","2007","Mayapuri Indl. Area","ind",NA,35,150,465
"30","Aug","2007","Mayapuri Indl. Area","ind",NA,38.2,107,255
"31","Aug","2007","Mayapuri Indl. Area","ind",NA,47.4,141,193
"32","Aug","2007","Mayapuri Indl. Area","ind",2.5,40.2,105,184
"33","Mar","2007","Mayapuri Indl. Area","ind",17.1,104.4,259,526
"34","Apr","2007","Mayapuri Indl. Area","ind",17.9,102.1,304,609
"35","Sep","2007","Mayapuri Indl. Area","ind",7.6,88.7,273,580
"36","Oct","2007","Mayapuri Indl. Area","ind",17,89.5,347,602
"37","Oct","2007","Mayapuri Indl. Area","ind",16.7,126,516,917
"38","Oct","2007","Mayapuri Indl. Area","ind",16.5,118.9,447,802
"39","Oct","2007","Mayapuri Indl. Area","ind",23.3,117.1,426,854
"40","Oct","2007","Mayapuri Indl. Area","ind",22.3,116,426,803
"41","Feb","2007","Mayapuri Indl. Area","ind",14,121,500,887
"42","Mar","2007","Mayapuri Indl. Area","ind",23.6,135.1,532,851
"43","Apr","2007","Mayapuri Indl. Area","ind",15.2,115.1,707,1070
"44","May","2007","Mayapuri Indl. Area","ind",18.6,112,598,850
"45","Nov","2007","Mayapuri Indl. Area","ind",26.1,142.1,457,708
"46","Nov","2007","Mayapuri Indl. Area","ind",23,136.9,468,785
"47","Nov","2007","Mayapuri Indl. Area","ind",26.6,91.6,371,737
"48","Nov","2007","Mayapuri Indl. Area","ind",25.1,105.5,618,1009
"49","Apr","2007","Mayapuri Indl. Area","ind",22.1,92.9,397,644
"50","May","2007","Mayapuri Indl. Area","ind",25.6,111.8,466,764
"51","Nov","2007","Mayapuri Indl. Area","ind",28,109.2,313,469
"52","Dec","2007","Mayapuri Indl. Area","ind",25.7,99.2,360,612
"53","Dec","2007","Mayapuri Indl. Area","ind",25.3,91.7,436,669
"54","Dec","2007","Mayapuri Indl. Area","ind",24.1,98.2,559,882
"55","Dec","2007","Mayapuri Indl. Area","ind",27.5,99.2,381,646
"56","Dec","2007","Mayapuri Indl. Area","ind",28.5,98,367,600
"57","Mar","2007","Shahdara","ind",6.3,53.3,212,452
"58","Aug","2007","Shahdara","ind",8.3,62.7,440,810
"59","Nov","2007","Shahdara","ind",6.3,60.5,361,587
"60","Jan","2007","Shahdara","ind",4.7,62.7,233,446
"61","Jan","2007","Shahdara","ind",5,58.8,127,427
"62","Jan","2007","Shahdara","ind",4.7,50.8,241,443
"63","Jan","2007","Shahdara","ind",6.8,53.5,293,563
"64","Jun","2007","Shahdara","ind",4,36.7,265,629
