"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jan","2015","Nizamuddin","rsd",4,44,203,NA
"2","Jan","2015","Nizamuddin","rsd",4,45,214,NA
"3","Jan","2015","Nizamuddin","rsd",4,47,182,NA
"4","Jan","2015","Nizamuddin","rsd",4,43,204,78
"5","Jan","2015","Nizamuddin","rsd",4,39,192,83
"6","Jan","2015","Nizamuddin","rsd",4,46,159,146
"7","Feb","2015","Nizamuddin","rsd",4,41,267,62
"8","Feb","2015","Nizamuddin","rsd",4,50,235,112
"9","Feb","2015","Nizamuddin","rsd",4,48,241,62
"10","Feb","2015","Nizamuddin","rsd",4,45,280,NA
"11","Feb","2015","Nizamuddin","rsd",4,42,268,63
"12","Feb","2015","Nizamuddin","rsd",4,40,210,107
"13","Feb","2015","Nizamuddin","rsd",4,39,210,57
"14","Mar","2015","Nizamuddin","rsd",4,39,199,44
"15","Mar","2015","Nizamuddin","rsd",4,38,199,47
"16","Mar","2015","Nizamuddin","rsd",4,50,187,75
"17","Mar","2015","Nizamuddin","rsd",4,47,219,47
"18","Mar","2015","Nizamuddin","rsd",4,47,178,78
"19","Mar","2015","Nizamuddin","rsd",4,52,174,82
"20","Apr","2015","Nizamuddin","rsd",4,50,206,78
"21","Apr","2015","Nizamuddin","rsd",4,44,243,71
"22","Apr","2015","Nizamuddin","rsd",4,43,228,58
"23","Apr","2015","Nizamuddin","rsd",4,45,229,77
"24","Apr","2015","Nizamuddin","rsd",4,38,219,53
"25","May","2015","Nizamuddin","rsd",4,39,209,29
"26","May","2015","Nizamuddin","rsd",4,46,121,89
"27","May","2015","Nizamuddin","rsd",4,44,156,91
"28","May","2015","Nizamuddin","rsd",4,46,132,97
"29","May","2015","Nizamuddin","rsd",4,47,123,61
"30","May","2015","Nizamuddin","rsd",4,47,302,101
"31","May","2015","Nizamuddin","rsd",4,44,329,77
"32","Jun","2015","Nizamuddin","rsd",4,46,264,77
"33","Jun","2015","Nizamuddin","rsd",4,46,173,126
"34","Jun","2015","Nizamuddin","rsd",4,46,149,76
"35","Jun","2015","Nizamuddin","rsd",4,43,150,55
"36","Jun","2015","Nizamuddin","rsd",4,47,185,42
