"x","y","pixelT","lc"
76.9835686380205,28.9937496887782,1,13
76.9930960125336,28.9937496887782,2,13
77.0026233870466,28.9937496887782,3,13
77.0121507615596,28.9937496887782,4,13
77.0216781360727,28.9937496887782,5,13
77.0312055105857,28.9937496887782,6,13
77.0407328850987,28.9937496887782,7,13
77.0502602596118,28.9937496887782,8,12
77.0597876341248,28.9937496887782,9,12
77.0693150086378,28.9937496887782,10,12
77.0788423831509,28.9937496887782,11,12
77.0883697576639,28.9937496887782,12,12
77.097897132177,28.9937496887782,13,12
77.10742450669,28.9937496887782,14,12
77.116951881203,28.9937496887782,15,12
77.1264792557161,28.9937496887782,16,12
77.1360066302291,28.9937496887782,17,12
77.1455340047421,28.9937496887782,18,12
77.1550613792552,28.9937496887782,19,12
77.1645887537682,28.9937496887782,20,12
77.1741161282812,28.9937496887782,21,12
77.1836435027943,28.9937496887782,22,12
77.1931708773073,28.9937496887782,23,12
77.2026982518204,28.9937496887782,24,12
77.2122256263334,28.9937496887782,25,12
77.2217530008464,28.9937496887782,26,12
77.2312803753595,28.9937496887782,27,12
77.2408077498725,28.9937496887782,28,12
77.2503351243855,28.9937496887782,29,12
77.2598624988986,28.9937496887782,30,12
77.2693898734116,28.9937496887782,31,12
77.2789172479246,28.9937496887782,32,12
77.2884446224377,28.9937496887782,33,12
77.2979719969507,28.9937496887782,34,12
77.3074993714638,28.9937496887782,35,12
77.3170267459768,28.9937496887782,36,12
77.3265541204898,28.9937496887782,37,12
77.3360814950029,28.9937496887782,38,12
77.3456088695159,28.9937496887782,39,12
77.3551362440289,28.9937496887782,40,12
77.364663618542,28.9937496887782,41,12
77.374190993055,28.9937496887782,42,12
77.3837183675681,28.9937496887782,43,13
77.3932457420811,28.9937496887782,44,12
77.4027731165941,28.9937496887782,45,12
77.4123004911072,28.9937496887782,46,12
77.4218278656202,28.9937496887782,47,13
77.4313552401332,28.9937496887782,48,12
77.4408826146463,28.9937496887782,49,12
77.4504099891593,28.9937496887782,50,14
77.4599373636723,28.9937496887782,51,12
77.4694647381854,28.9937496887782,52,12
77.4789921126984,28.9937496887782,53,12
77.4885194872115,28.9937496887782,54,12
77.4980468617245,28.9937496887782,55,12
77.5075742362375,28.9937496887782,56,12
77.5171016107506,28.9937496887782,57,12
77.5266289852636,28.9937496887782,58,12
77.5361563597766,28.9937496887782,59,12
77.5456837342897,28.9937496887782,60,12
77.5552111088027,28.9937496887782,61,12
77.5647384833158,28.9937496887782,62,12
77.5742658578288,28.9937496887782,63,12
77.5837932323418,28.9937496887782,64,12
77.5933206068548,28.9937496887782,65,12
77.6028479813679,28.9937496887782,66,12
77.6123753558809,28.9937496887782,67,12
77.621902730394,28.9937496887782,68,12
77.631430104907,28.9937496887782,69,13
77.64095747942,28.9937496887782,70,13
77.6504848539331,28.9937496887782,71,13
77.6600122284461,28.9937496887782,72,13
77.6695396029591,28.9937496887782,73,13
77.6790669774722,28.9937496887782,74,13
77.6885943519852,28.9937496887782,75,13
77.6981217264983,28.9937496887782,76,13
77.7076491010113,28.9937496887782,77,13
77.7171764755243,28.9937496887782,78,13
77.7267038500374,28.9937496887782,79,13
77.7362312245504,28.9937496887782,80,9
77.7457585990634,28.9937496887782,81,13
76.9804665194084,28.9895830221119,82,12
76.9899935100077,28.9895830221119,83,9
