"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Feb","2008","Mayapuri Indl. Area","ind",25.4,96.9,374,663
"2","Mar","2008","Mayapuri Indl. Area","ind",20.3,115.4,406,673
"3","Aug","2008","Mayapuri Indl. Area","ind",32.4,115,323,607
"4","Sep","2008","Mayapuri Indl. Area","ind",16.2,114.4,267,469
"5","Jan","2008","Mayapuri Indl. Area","ind",28.2,80.3,267,484
"6","Jan","2008","Mayapuri Indl. Area","ind",34.9,91.7,287,519
"7","Jan","2008","Mayapuri Indl. Area","ind",22.4,86.3,282,507
"8","Jan","2008","Mayapuri Indl. Area","ind",23.6,105.9,175,380
"9","May","2008","Mayapuri Indl. Area","ind",16.1,68.8,328,601
"10","Jun","2008","Mayapuri Indl. Area","ind",26.9,110.7,275,520
"11","Dec","2008","Mayapuri Indl. Area","ind",21.3,62.6,208,450
"12","Feb","2008","Mayapuri Indl. Area","ind",18,80.5,216,510
"13","Feb","2008","Mayapuri Indl. Area","ind",26.4,85.7,272,707
"14","Feb","2008","Mayapuri Indl. Area","ind",25.8,56.1,264,695
"15","Feb","2008","Mayapuri Indl. Area","ind",13.8,50.4,213,595
"16","Feb","2008","Mayapuri Indl. Area","ind",22.1,73.9,304,574
"17","Apr","2008","Mayapuri Indl. Area","ind",24,129.8,344,751
"18","May","2008","Mayapuri Indl. Area","ind",23.8,109.3,349,652
"19","Nov","2008","Mayapuri Indl. Area","ind",20.9,47.3,205,528
"20","Dec","2008","Mayapuri Indl. Area","ind",21.1,58.2,249,548
"21","Mar","2008","Mayapuri Indl. Area","ind",22.7,81.7,359,592
"22","Mar","2008","Mayapuri Indl. Area","ind",24.3,58,282,502
"23","Mar","2008","Mayapuri Indl. Area","ind",23.4,82.3,236,659
"24","Mar","2008","Mayapuri Indl. Area","ind",32,104.2,243,538
"25","Dec","2008","Mayapuri Indl. Area","ind",19.9,89.6,288,449
"26","Apr","2008","Mayapuri Indl. Area","ind",19.8,93.3,292,471
"27","Apr","2008","Mayapuri Indl. Area","ind",24.6,71.1,266,436
"28","Apr","2008","Mayapuri Indl. Area","ind",23.3,91.1,240,451
"29","Apr","2008","Mayapuri Indl. Area","ind",23.6,85.4,251,509
"30","Apr","2008","Mayapuri Indl. Area","ind",24.2,71.1,391,678
"31","Apr","2008","Mayapuri Indl. Area","ind",30.8,88.4,270,515
"32","Apr","2008","Mayapuri Indl. Area","ind",31.3,105.3,240,528
"33","Jan","2008","Mayapuri Indl. Area","ind",12,48.2,633,1096
"34","Feb","2008","Mayapuri Indl. Area","ind",11.1,74.1,506,760
"35","Mar","2008","Mayapuri Indl. Area","ind",7.2,66.9,509,847
"36","Jul","2008","Mayapuri Indl. Area","ind",5.6,87.9,363,634
"37","Aug","2008","Mayapuri Indl. Area","ind",2.5,36.8,348,782
"38","May","2008","Mayapuri Indl. Area","ind",10.8,79.8,121,186
"39","May","2008","Mayapuri Indl. Area","ind",5,80.6,77,127
"40","May","2008","Mayapuri Indl. Area","ind",4,76.2,77,131
"41","Mar","2008","Mayapuri Indl. Area","ind",NA,91.5,235,377
"42","Apr","2008","Mayapuri Indl. Area","ind",NA,74.9,208,541
"43","May","2008","Mayapuri Indl. Area","ind",NA,75.8,198,415
"44","Oct","2008","Mayapuri Indl. Area","ind",3.8,55.3,115,286
"45","Nov","2008","Mayapuri Indl. Area","ind",4.5,77.6,140,371
"46","Dec","2008","Mayapuri Indl. Area","ind",15.4,85.2,130,301
"47","Jun","2008","Mayapuri Indl. Area","ind",13.5,64.5,99,188
"48","Jun","2008","Mayapuri Indl. Area","ind",6.2,49.7,131,254
"49","Jan","2008","Mayapuri Indl. Area","ind",3.6,50,164,233
"50","Feb","2008","Mayapuri Indl. Area","ind",3,52.8,225,403
"51","Mar","2008","Mayapuri Indl. Area","ind",2.6,30.4,239,478
"52","Jul","2008","Mayapuri Indl. Area","ind",NA,54.4,194,448
"53","Jul","2008","Mayapuri Indl. Area","ind",3.2,45.8,142,395
"54","Jul","2008","Mayapuri Indl. Area","ind",4.9,74.7,176,437
"55","Jul","2008","Mayapuri Indl. Area","ind",3.3,49.3,188,303
"56","Jul","2008","Mayapuri Indl. Area","ind",NA,56.2,110,220
"57","Dec","2008","Mayapuri Indl. Area","ind",NA,25,62,141
"58","Aug","2008","Mayapuri Indl. Area","ind",NA,34.2,49,73
"59","Aug","2008","Mayapuri Indl. Area","ind",3.9,26.1,143,424
"60","Aug","2008","Mayapuri Indl. Area","ind",8.5,31.3,107,356
"61","Aug","2008","Mayapuri Indl. Area","ind",10,58.2,107,379
"62","Aug","2008","Mayapuri Indl. Area","ind",3.2,59.8,123,410
"63","Aug","2008","Mayapuri Indl. Area","ind",4.4,37.3,140,482
"64","Aug","2008","Mayapuri Indl. Area","ind",2.7,20.1,121,383
"65","Sep","2008","Mayapuri Indl. Area","ind",11.2,47.8,185,382
"66","Oct","2008","Mayapuri Indl. Area","ind",15.8,56.7,195,440
"67","Nov","2008","Mayapuri Indl. Area","ind",3.4,67.3,140,292
"68","Sep","2008","Mayapuri Indl. Area","ind",16.6,68.3,144,333
"69","Sep","2008","Mayapuri Indl. Area","ind",9.1,56.9,77,160
"70","Sep","2008","Mayapuri Indl. Area","ind",3.5,49.9,199,443
"71","Sep","2008","Mayapuri Indl. Area","ind",2.9,43.4,280,480
"72","Sep","2008","Mayapuri Indl. Area","ind",4,45.7,281,537
"73","Mar","2008","Mayapuri Indl. Area","ind",3.9,58,207,451
"74","Apr","2008","Mayapuri Indl. Area","ind",10.3,49.4,171,401
"75","Oct","2008","Mayapuri Indl. Area","ind",7.9,73.5,294,549
"76","Nov","2008","Mayapuri Indl. Area","ind",5.1,87.8,323,600
"77","Oct","2008","Mayapuri Indl. Area","ind",14.1,118.3,419,911
"78","Oct","2008","Mayapuri Indl. Area","ind",9.4,101.3,390,760
"79","Oct","2008","Mayapuri Indl. Area","ind",11.6,125.7,395,882
"80","Oct","2008","Mayapuri Indl. Area","ind",13.7,138.7,388,742
"81","Apr","2008","Mayapuri Indl. Area","ind",NA,94.1,497,939
"82","May","2008","Mayapuri Indl. Area","ind",11.4,102.9,451,847
"83","Jun","2008","Mayapuri Indl. Area","ind",3.4,99.4,465,853
"84","Nov","2008","Mayapuri Indl. Area","ind",11.1,91.1,399,755
"85","Nov","2008","Mayapuri Indl. Area","ind",10.2,91.1,261,619
"86","Nov","2008","Mayapuri Indl. Area","ind",14,44.1,193,388
"87","Nov","2008","Mayapuri Indl. Area","ind",4.8,73,231,567
"88","Nov","2008","Mayapuri Indl. Area","ind",6.4,63.8,269,586
"89","Feb","2008","Mayapuri Indl. Area","ind",3.5,117.3,478,970
"90","Mar","2008","Mayapuri Indl. Area","ind",13.7,107,474,921
"91","Sep","2008","Mayapuri Indl. Area","ind",9.2,94.6,463,818
"92","Oct","2008","Mayapuri Indl. Area","ind",5.7,68.5,286,551
"93","Dec","2008","Mayapuri Indl. Area","ind",15.2,65.8,307,695
"94","Dec","2008","Mayapuri Indl. Area","ind",7.9,91,440,819
"95","Dec","2008","Mayapuri Indl. Area","ind",7.9,90.5,371,741
"96","Dec","2008","Mayapuri Indl. Area","ind",21.4,83.6,439,755
"97","Mar","2008","Shahdara","ind",4.8,52.2,194,607
"98","Aug","2008","Shahdara","ind",4.7,75.5,162,612
"99","Nov","2008","Shahdara","ind",4,45.8,59,249
"100","Jan","2008","Shahdara","ind",4.2,53,92,361
"101","Jan","2008","Shahdara","ind",4,46.7,143,290
"102","Jan","2008","Shahdara","ind",5,70,225,319
"103","Jan","2008","Shahdara","ind",4.5,48.8,227,408
"104","Apr","2008","Shahdara","ind",4.2,52.7,172,433
"105","Jul","2008","Shahdara","ind",4.8,58,177,429
"106","Dec","2008","Shahdara","ind",4.8,70.7,236,643
"107","Feb","2008","Shahdara","ind",4.2,63.3,225,436
"108","Feb","2008","Shahdara","ind",5.2,62.8,387,424
"109","Feb","2008","Shahdara","ind",4.7,79.2,327,867
"110","Feb","2008","Shahdara","ind",4.5,70.3,208,468
"111","May","2008","Shahdara","ind",5.5,82.3,373,688
