"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Mar","2013","N.Y. School","rsd",2,59,243,NA
"2","Apr","2013","N.Y. School","rsd",5,77,264,NA
"3","May","2013","N.Y. School","rsd",4,68,280,NA
"4","Jan","2013","N.Y. School","rsd",3,90,335,NA
"5","Jan","2013","N.Y. School","rsd",3,90,362,NA
"6","Jan","2013","N.Y. School","rsd",2,74,172,NA
"7","Jan","2013","N.Y. School","rsd",2,99,330,NA
"8","Jan","2013","N.Y. School","rsd",3,87,413,NA
"9","Feb","2013","N.Y. School","rsd",9,68,135,NA
"10","Feb","2013","N.Y. School","rsd",2,103,134,NA
"11","Feb","2013","N.Y. School","rsd",2,115,159,NA
"12","Feb","2013","N.Y. School","rsd",2,111,167,NA
"13","Feb","2013","N.Y. School","rsd",8,110,154,NA
"14","Feb","2013","N.Y. School","rsd",3,89,145,NA
"15","Feb","2013","N.Y. School","rsd",7,80,140,NA
"16","Feb","2013","N.Y. School","rsd",3,94,158,NA
"17","Aug","2013","N.Y. School","rsd",2,113,171,NA
"18","Sep","2013","N.Y. School","rsd",6,78,154,NA
"19","Dec","2013","N.Y. School","rsd",4,103,173,NA
"20","Mar","2013","N.Y. School","rsd",8,97,212,NA
"21","Mar","2013","N.Y. School","rsd",5,74,141,NA
"22","Mar","2013","N.Y. School","rsd",3,95,149,NA
"23","Mar","2013","N.Y. School","rsd",3,81,154,NA
"24","Mar","2013","N.Y. School","rsd",2,52,132,NA
"25","Feb","2013","N.Y. School","rsd",2,56,86,NA
"26","Mar","2013","N.Y. School","rsd",3,72,154,NA
"27","Apr","2013","N.Y. School","rsd",2,55,140,NA
"28","Sep","2013","N.Y. School","rsd",5,80,204,NA
"29","Oct","2013","N.Y. School","rsd",9,85,151,NA
"30","Nov","2013","N.Y. School","rsd",5,71,192,NA
"31","Apr","2013","N.Y. School","rsd",2,83,190,NA
"32","Apr","2013","N.Y. School","rsd",2,86,225,NA
"33","Jun","2013","N.Y. School","rsd",2,103,256,NA
"34","Jul","2013","N.Y. School","rsd",3,84,263,NA
"35","Aug","2013","N.Y. School","rsd",4,106,235,NA
"36","May","2013","N.Y. School","rsd",2,71,273,NA
"37","May","2013","N.Y. School","rsd",2,88,251,NA
"38","May","2013","N.Y. School","rsd",2,89,261,NA
"39","May","2013","N.Y. School","rsd",3,97,285,NA
"40","May","2013","N.Y. School","rsd",2,72,244,NA
"41","Apr","2013","N.Y. School","rsd",3,80,218,NA
"42","May","2013","N.Y. School","rsd",3,74,248,NA
"43","Jun","2013","N.Y. School","rsd",2,74,152,NA
"44","Jun","2013","N.Y. School","rsd",2,86,159,NA
"45","Jun","2013","N.Y. School","rsd",2,73,167,NA
"46","Jun","2013","N.Y. School","rsd",2,53,101,NA
"47","Jun","2013","N.Y. School","rsd",2,76,144,NA
"48","Jun","2013","N.Y. School","rsd",2,70,176,NA
"49","May","2013","N.Y. School","rsd",2,40,102,NA
"50","Jun","2013","N.Y. School","rsd",2,40,98,NA
"51","Nov","2013","N.Y. School","rsd",2,48,83,NA
"52","Dec","2013","N.Y. School","rsd",3,49,63,NA
"53","Jul","2013","N.Y. School","rsd",2,34,69,NA
"54","Jul","2013","N.Y. School","rsd",2,64,75,NA
"55","Jul","2013","N.Y. School","rsd",2,43,79,NA
"56","Jul","2013","N.Y. School","rsd",3,43,50,NA
"57","Jan","2013","N.Y. School","rsd",3,44,72,NA
"58","Feb","2013","N.Y. School","rsd",3,38,76,NA
"59","Mar","2013","N.Y. School","rsd",4,52,79,NA
"60","Dec","2013","N.Y. School","rsd",2,70,65,NA
"61","Aug","2013","N.Y. School","rsd",2,47,61,NA
"62","Aug","2013","N.Y. School","rsd",8,50,90,NA
"63","Aug","2013","N.Y. School","rsd",9,40,93,NA
"64","Aug","2013","N.Y. School","rsd",5,57,119,NA
"65","Oct","2013","N.Y. School","rsd",2,72,117,NA
"66","Nov","2013","N.Y. School","rsd",2,93,97,NA
"67","Dec","2013","N.Y. School","rsd",4,69,125,NA
"68","Sep","2013","N.Y. School","rsd",3,65,101,NA
"69","Sep","2013","N.Y. School","rsd",3,61,98,NA
"70","Sep","2013","N.Y. School","rsd",6,67,150,NA
"71","Sep","2013","N.Y. School","rsd",2,79,108,NA
"72","Sep","2013","N.Y. School","rsd",3,86,99,NA
"73","Sep","2013","N.Y. School","rsd",2,61,81,NA
"74","Oct","2013","N.Y. School","rsd",2,84,117,NA
"75","Oct","2013","N.Y. School","rsd",2,126,137,NA
"76","Oct","2013","N.Y. School","rsd",5,105,177,NA
"77","Oct","2013","N.Y. School","rsd",6,126,259,NA
"78","Oct","2013","N.Y. School","rsd",8,159,247,NA
"79","Oct","2013","N.Y. School","rsd",7,122,317,NA
"80","Oct","2013","N.Y. School","rsd",7,159,218,NA
"81","Jan","2013","N.Y. School","rsd",2,102,232,NA
"82","Feb","2013","N.Y. School","rsd",4,80,380,NA
"83","May","2013","N.Y. School","rsd",7,140,433,NA
"84","Jun","2013","N.Y. School","rsd",9,108,254,NA
"85","Jul","2013","N.Y. School","rsd",7,111,288,NA
"86","Nov","2013","N.Y. School","rsd",2,115,161,NA
"87","Nov","2013","N.Y. School","rsd",8,172,248,NA
"88","Nov","2013","N.Y. School","rsd",11,152,284,NA
"89","Oct","2013","N.Y. School","rsd",6,114,204,NA
"90","Nov","2013","N.Y. School","rsd",8,94,317,NA
"91","Dec","2013","N.Y. School","rsd",8,81,161,NA
"92","Dec","2013","N.Y. School","rsd",3,129,492,NA
"93","Dec","2013","N.Y. School","rsd",5,107,321,NA
"94","Dec","2013","N.Y. School","rsd",3,79,256,NA
"95","Dec","2013","N.Y. School","rsd",9,87,229,NA
"96","Dec","2013","N.Y. School","rsd",7,61,210,NA
"97","Aug","2013","Town Hall","rsd",2,104,377,NA
"98","Sep","2013","Town Hall","rsd",2,83,308,NA
"99","Oct","2013","Town Hall","rsd",2,97,333,NA
"100","Jan","2013","Town Hall","rsd",12,114,416,NA
"101","Jan","2013","Town Hall","rsd",16,101,419,NA
"102","Jan","2013","Town Hall","rsd",2,84,136,NA
"103","Jan","2013","Town Hall","rsd",3,108,345,NA
"104","Jan","2013","Town Hall","rsd",2,95,293,NA
