"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Jan","2002","Nizamuddin","ind",19.2,35.8,NA,239
"2","Feb","2002","Nizamuddin","ind",17.9,42.2,NA,192
"3","Mar","2002","Nizamuddin","ind",17.1,37.8,NA,167
"4","Apr","2002","Nizamuddin","ind",13.4,39.4,NA,322
"5","May","2002","Nizamuddin","ind",15.6,42.6,NA,267
"6","Jun","2002","Nizamuddin","ind",10.9,36.3,NA,222
"7","Jul","2002","Nizamuddin","ind",11.3,36.4,NA,300
"8","Aug","2002","Nizamuddin","ind",9.1,38.6,NA,111
"9","Sep","2002","Nizamuddin","ind",6.8,38.2,NA,138
"10","Oct","2002","Nizamuddin","ind",11.9,37,NA,251
"11","Nov","2002","Nizamuddin","ind",11.6,42.6,NA,253
"12","Dec","2002","Nizamuddin","ind",11.9,45.1,NA,370
"13","Annual","2002","Nizamuddin","ind",13.1,39.3,NA,242
"14","Jan","2002","Ashok Vihar","ind",5.5,18.2,NA,253
"15","Feb","2002","Ashok Vihar","ind",6.3,19.7,NA,266
"16","Mar","2002","Ashok Vihar","ind",5.5,20.5,NA,227
"17","Apr","2002","Ashok Vihar","ind",4.8,19.7,NA,292
"18","May","2002","Ashok Vihar","ind",7.3,27.8,NA,501
"19","Jun","2002","Ashok Vihar","ind",5.7,22,NA,272
"20","Jul","2002","Ashok Vihar","ind",4.3,12.8,NA,165
"21","Aug","2002","Ashok Vihar","ind",5.3,17.3,NA,216
"22","Sep","2002","Ashok Vihar","ind",4.6,43.3,NA,169
"23","Oct","2002","Ashok Vihar","ind",7.1,25.2,NA,270
"24","Nov","2002","Ashok Vihar","ind",9.2,33,NA,328
"25","Dec","2002","Ashok Vihar","ind",8.7,35.8,NA,465
"26","Annual","2002","Ashok Vihar","ind",6.4,26,NA,299
"27","Jan","2002","Shahzada Bagh","ind",10.3,33.6,NA,352
"28","Feb","2002","Shahzada Bagh","ind",10.1,31.9,NA,341
"29","Mar","2002","Shahzada Bagh","ind",10.7,34.5,NA,279
"30","Apr","2002","Shahzada Bagh","ind",9.6,36.1,NA,394
"31","May","2002","Shahzada Bagh","ind",9.1,36.2,NA,384
"32","Jun","2002","Shahzada Bagh","ind",11.2,36.2,NA,381
"33","Jul","2002","Shahzada Bagh","ind",9.6,29,NA,207
